,address,area,date,location,time,type
1215,9X H1E FWY,WAIPAHU,12/3/2016,H1E WAIPAHU ON,3:01:30 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1216,445X KAPOLEI PKWY,KAPOLEI,12/3/2016,TARGET KAPOLEI,3:01:22 PM,MOTOR VEHICLE COLLISION
1217,FARRINGTON HWY&WAIOMEA; ST,KAPOLEI,12/3/2016, ,3:01:08 PM,TRAFFIC SIGNAL PROBLEM
1218,92020X FARRINGTON HWY,NANAKULI,12/3/2016,HECO KAHE POWER PLAN,3:00:32 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1219,ALIINUI DR&FARRINGTON; HWY,KAPOLEI,12/3/2016, ,3:00:12 PM,MOTOR VEHICLE COLLISION
1220,KAAHELE ST&MOANALUA; RD,AIEA,12/3/2016, ,2:53:33 PM,TRAFFIC SIGNAL PROBLEM
1221,KAPALAMA AVE&N; SCHOOL ST,KALIHI,12/3/2016, ,2:49:15 PM,MOTOR VEHICLE COLLISION
1222,WARD ONTO H1E,HONOLULU,12/3/2016,WARD ONTO H1E,2:46:00 PM,STALLED/HAZARDOUS VEHICLE
1223,91140X FORT WEAVER RD,EWA BEACH,12/3/2016,LONGS EWA TWN CTR,2:31:57 PM,MOTOR VEHICLE COLLISION
1224,21X H1E FWY,DOWNTOWN,12/3/2016,H1E PUNCHBOWL OFF,2:28:33 PM,STALLED/HAZARDOUS VEHICLE
1225,KALANIANAOLE HWY&KEAHOLE; ST,HAWAII KAI,12/5/2016, ,1:14:14 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1226,123X S BERETANIA ST,HONOLULU,12/5/2016,SAFEWAY BERETANIA,1:13:20 PM,MOTOR VEHICLE COLLISION
1227,12X N NIMITZ HWY,DOWNTOWN,12/5/2016,PBS PARKING,1:08:42 PM,MOTOR VEHICLE COLLISION
1228,95124X MEHEULA PKWY,MILILANI,12/5/2016,MILILANI TOWN CTR,1:07:19 PM,MOTOR VEHICLE COLLISION
1229,26X H1E FWY,KAIMUKI,12/5/2016,H1E WAIALAE OFF,1:01:20 PM,HAZARDOUS DRIVER
1230,56X N NIMITZ HWY,KALIHI,12/5/2016,GENTRY PACIFIC CTR,12:53:19 PM,MOTOR VEHICLE COLLISION
1231,45042X KAM HWY,KANEOHE,12/5/2016,CEMETERY HAWAIIAN ME,12:53:16 PM,HAZARDOUS DRIVER
1232,13X H1W FWY,AIEA,12/5/2016,H1W AIEA OFF,12:49:21 PM,HAZARDOUS DRIVER
1233,KAHEKA ST&MAKALOA; ST,HONOLULU,12/5/2016, ,12:42:17 PM,MOTOR VEHICLE COLLISION
1234,55040X KAM HWY,LAIE,12/5/2016,MCDONALDS LAIE,12:40:27 PM,MOTOR VEHICLE COLLISION
1235,KAUKONAHUA RD&WAIALUA; BEACH RD,WAIALUA,12/5/2016, ,12:34:20 PM,HAZARDOUS DRIVER
1236,98013X PALI MOMI ST,AIEA,12/5/2016,CHILIS PEARLRIDGE,12:34:03 PM,MOTOR VEHICLE COLLISION
1237,45048X KANEOHE BAY DR,KANEOHE,12/5/2016,WINDWARD CITY SC,12:33:39 PM,MOTOR VEHICLE COLLISION
1238,KALAELOA/MALAKOLE, ,12/5/2016, ,12:32:57 PM,MOTOR VEHICLE COLLISION
1239,196X 10TH AVE,KAIMUKI,12/5/2016, ,12:30:39 PM,MOTOR VEHICLE COLLISION
1240,22X H1W FWY,PUNCHBOWL,12/5/2016,H1W PALI OFF,12:30:00 PM,STALLED/HAZARDOUS VEHICLE
1241,AOLELE ST&RODGERS; BLVD,AIRPORT,12/5/2016, ,12:29:03 PM,MOTOR VEHICLE COLLISION
1242,AULOA RD&KALANIANAOLE; HWY,KAILUA,12/5/2016, ,12:26:20 PM,HAZARDOUS DRIVER
1243,H3E LIKELIKE OFF,KANEOHE,12/4/2016,H3E LIKELIKE OFF,5:23:22 AM,HAZARDOUS DRIVER
1244,11X H1W FWY,PEARL CITY,12/4/2016,H1W PEARL CITY OFF,5:07:39 AM,STALLED/HAZARDOUS VEHICLE
1245,650X KALANIANAOLE HWY,HAWAII KAI,12/4/2016,MAUNALUA BAY BCH PK,11:21:27 AM,MOTOR VEHICLE COLLISION
1246,22X H1W FWY,PUNCHBOWL,12/4/2016,H1W VINEYARD OFF,11:00:17 AM,HAZARDOUS DRIVER
1247,91102X KALEHUNA ST,KAPOLEI,12/4/2016, ,11:00:14 AM,TRAFFIC INCIDENT - NO COLLISION
1248,47052X KAM HWY,KANEOHE,12/4/2016,HYGIENIC STORE,10:55:26 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1249,H1E HICKAM OFF,AIEA,12/4/2016,H1E HICKAM OFF,10:49:48 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1250,364X LIKELIKE HWY,KALIHI,12/4/2016,BURMEISTER OP N,10:47:35 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1251,6X H1W FWY,WAIPIO,12/4/2016,H1W MANAGERS OP,10:39:37 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1252,119X DILLINGHAM BLVD,KALIHI,12/4/2016,CHUCK E CHEESE KALIH,10:36:47 AM,MOTOR VEHICLE COLLISION
1253,KALANIANAOLE HWY&KAPAA; QUARRY,KAILUA,12/3/2016, ,2:16:01 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
